NOME,Denominazione
DENOM,Denominazione
A_,Affidabilita
POTENZA,Potenza
TIPO_,Tipo
D_T_,Tipo
D_TIPO_,Tipo
SUB_TIPO,Tipo
AREA_,Area
ASSORB_,Assorbimento
ALTEZZA,Altezza
H_,Altezza
NUM_,Dati fisici
N_,Dati fisici
X,Dati geografici
Y,Dati geografici
ANNOTAZIONI,Annotazioni
D_AMBITO,Altro
D_STATO,Stato
GLOBALID,Id
DIS_CHIUSINO_1,Distanza
ALT_CANALE,Altezza
D_GEST_PREC,Categoria
AUFNR,Altro
LUNGHEZZA,Lunghezza
ISDZ,Altro
DIAMETRO,Diametro
TAB_NORMATIVA,Tabelle
D_ASS_CARB_ATT,Dati fisici
D_DISINFEZIONE,Manutenzione
TIPO,Tipo
IS_ADMIN,Altro
IHNUM,Altro
VORNR,Altro
SERIAL_NUMBER,Altro
D_TIPO,Tipo
QMNUM,Altro
TPLNR,Altro
LABELS,Altro
SRC_TABLE,Tabelle
D_DIAMETRO,Diametro
COSTO_MANUTENZIONE,Costo
SRC_FIELD,Altro
FIRSTNAME,Altro
DISTANZA,Distanza
VALORI,Valori
VAL_PIEZO,Valori
UDATE_SISTEMA,Data e ora
STATO_SAP,Stato
AGGR_FUNZ,Funzione
ARTPR,Altro
D_CAUSALE,Dati commerciali
ULTIMO_STATO,Stato
NAME,Altro
D_TRASMISSIONE,Dati fisici
QMDAT,Altro
ANNO,Data e ora
ZZAUFNR,Altro
DISTFONDO,Dati fisici
COSTO_DISMISSIONE,Costo
D_AM_STATO,Stato
GSTRP_F,Altro
SUBTIPO,Tipo
D_AREA,Area
CATEGORIA,Categoria
D_TRASF_INTERAMBITO,Dati commerciali
AGGR_FUNC,Funzione
GSTRP,Altro
SCENE_DATA,Altro
COSTO_ACQUISTO,Costo
SISTEMAPRGA,Sistema
CAMPO,Altro
PROFONDITA,Profondita
OBJECTID,Id
IEDZ,Altro
PRESSIONE,Pressione
MATERIALE,Materiale
SUP_ISTAT,Altro
NUMSTRALCIO,Dati fisici
CURVA,Altro
COMPLESSITA,Dati fisici
PEND_TUB_PREL,Pendenza
DIS_CHIUSINO_2,Distanza
COSTO,Costo
D_FUNZ_ORG_CON,Funzione
COSTO_INSTALLAZIONE,Costo
ZIDCHIAMATA,Id
AUART,Altro
CFG_VALUE,Valori
ID,Id
